model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
PhaseVariation-PT-D05CS100_LTLS_2_F_,ufscc,64,spotba,122,1.520,2016-07-15.01:04:29,300,5281,343068,5464,347890,1,22,0,5464,5163,1,-1
PhaseVariation-PT-D05CS100_LTLS_3_F_,ufscc,64,spotba,122,1.500,2016-07-15.01:04:36,85,4952,343989,5110,348147,1,2,0,5110,5025,1,-1
PhaseVariation-PT-D05CS100_LTLS_4_F_,ufscc,64,spotba,102,1.470,2016-07-15.01:04:43,411,5087,326674,5268,331684,1,35,0,5268,4857,1,-1
PhaseVariation-PT-D05CS100_LTLS_5_F_,ufscc,64,spotba,102,1.520,2016-07-15.01:04:50,662,5934,371654,6094,375836,1,163,0,6094,5432,1,-1
PhaseVariation-PT-D05CS100_LTLS_6_F_,ufscc,64,spotba,117,1.570,2016-07-15.01:04:57,819,6204,367308,6381,371916,2,180,0,6381,5562,1,-1
PhaseVariation-PT-D05CS100_LTLS_7_F_,ufscc,64,spotba,102,1.460,2016-07-15.01:05:04,142,4744,319470,4912,323960,1,1,0,4912,4770,1,-1
PhaseVariation-PT-D05CS100_LTLS_8_F_,ufscc,64,spotba,103,1.540,2016-07-15.01:05:11,238,4360,298723,4581,305025,1,20,0,4581,4343,1,-1
PhaseVariation-PT-D05CS100_LTLS_9_F_,ufscc,64,spotba,102,1.420,2016-07-15.01:05:19,155,4292,288360,4482,293316,1,14,0,4482,4327,1,-1
S_CircularTrains-PT-048_LTLF_11_F_,ufscc,64,spotba,245,1.400,2016-07-15.01:05:34,0,10925,60146,11052,62214,0,0,1,11052,11052,2,-1
S_CircularTrains-PT-048_LTLF_15_F_,ufscc,64,spotba,230,1.370,2016-07-15.01:05:37,0,9095,54660,9215,56642,0,0,1,9215,9215,3,-1
S_CircularTrains-PT-048_LTLF_1_F_,ufscc,64,spotba,216,1.400,2016-07-15.01:05:41,0,10976,60782,11103,62791,0,0,1,11103,11103,2,-1
S_CircularTrains-PT-048_LTLF_2_F_,ufscc,64,spotba,222,1.120,2016-07-15.01:05:44,0,4714,38675,4830,40594,0,0,1,4830,4830,2,-1
