model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
peterson.4_F_02,ufscc,64,spotba,43,0.360,2016-07-14.14:28:12,830,3179,9450,4042,12094,0,1013,2,4042,2942,2,-1
peterson.4_F_05,ufscc,64,spotba,92,0.350,2016-07-14.14:28:14,0,1562,5364,1842,6540,0,0,1,1842,1842,2,-1
peterson.4_F_08,ufscc,64,spotba,42,0.390,2016-07-14.14:28:17,512,3368,10550,3774,12386,0,440,5,3774,3227,3,-1
peterson.5_F_01,ufscc,64,spotba,36,0.230,2016-07-14.14:28:19,0,1039,4134,1452,5861,0,0,1,1452,1452,2,-1
peterson.5_F_02,ufscc,64,spotba,47,0.220,2016-07-14.14:28:21,0,459,2000,713,3201,0,0,1,713,713,2,-1
peterson.5_F_05,ufscc,64,spotba,37,0.250,2016-07-14.14:28:25,0,1360,5406,1730,6968,0,0,1,1730,1730,2,-1
peterson.5_F_07,ufscc,64,spotba,90,0.470,2016-07-14.14:28:28,21,4530,17316,5084,19601,0,0,62,5084,5063,3,-1
peterson.5_F_08,ufscc,64,spotba,44,0.400,2016-07-14.14:28:31,98,2528,10155,2888,12010,0,10,7,2888,2775,3,-1
peterson.6_F_01,ufscc,64,spotba,22,0.210,2016-07-14.14:28:36,0,789,3375,1173,5037,0,0,2,1173,1173,2,-1
peterson.6_F_02,ufscc,64,spotba,27,0.210,2016-07-14.14:28:39,3,905,4062,1238,5609,0,0,1,1238,1235,2,-1
peterson.6_F_05,ufscc,64,spotba,42,0.250,2016-07-14.14:28:42,0,990,4257,1266,5449,0,0,1,1266,1266,2,-1
peterson.6_F_07,ufscc,64,spotba,62,0.460,2016-07-14.14:28:45,1,3870,15953,4183,17298,0,0,112,4183,4182,3,-1
peterson.6_F_08,ufscc,64,spotba,24,0.300,2016-07-14.14:28:47,11,1155,5173,1371,6580,0,0,5,1371,1360,3,-1
peterson.6_F_09,ufscc,64,spotba,50,0.350,2016-07-14.14:28:49,0,2126,32947,2483,38947,0,0,105,2483,2483,2,-1
peterson.7_F_01,ufscc,64,spotba,41,0.450,2016-07-14.14:28:52,0,2389,10876,2605,12019,0,0,1,2605,2605,2,-1
peterson.7_F_02,ufscc,64,spotba,65,0.510,2016-07-14.14:28:55,739,4607,17508,4956,19255,0,267,1,4956,4289,2,-1
peterson.7_F_05,ufscc,64,spotba,40,0.380,2016-07-14.14:28:58,0,2622,11478,2859,12727,0,0,1,2859,2859,2,-1
peterson.7_F_08,ufscc,64,spotba,64,0.590,2016-07-14.14:29:01,312,3987,16043,4159,17432,0,98,2,4159,3882,3,-1
phils.1_F_01,ufscc,64,spotba,6,0.060,2016-07-14.14:29:03,1,64,166,411,1274,6,3,26,411,404,2,-1
phils.1_F_02,ufscc,64,spotba,6,0.070,2016-07-14.14:29:04,2,28,100,173,998,1,1,0,173,171,2,-1
phils.1_F_03,ufscc,64,spotba,5,0.060,2016-07-14.14:29:06,0,23,78,162,678,0,0,1,162,162,2,-1
phils.1_F_04,ufscc,64,spotba,6,0.040,2016-07-14.14:29:08,1,35,118,249,1005,1,0,0,249,242,2,-1
phils.1_F_05,ufscc,64,spotba,11,0.080,2016-07-14.14:29:10,0,44,118,166,645,1,0,1,166,166,2,-1
phils.1_F_06,ufscc,64,spotba,6,0.050,2016-07-14.14:29:12,11,32,69,306,1134,5,11,0,306,261,2,-1
phils.2_F_01,ufscc,64,spotba,8,0.080,2016-07-14.14:29:15,0,115,583,317,1767,0,0,117,317,317,2,-1
phils.2_F_02,ufscc,64,spotba,4,0.060,2016-07-14.14:29:17,0,12,105,84,871,0,0,1,84,84,2,-1
phils.2_F_03,ufscc,64,spotba,3,0.040,2016-07-14.14:29:19,0,6,35,95,570,0,0,1,95,95,2,-1
phils.2_F_04,ufscc,64,spotba,7,0.080,2016-07-14.14:29:20,2,130,704,356,2073,0,0,175,350,347,2,-1
