model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
elevator2.3_F_035,ufscc,64,spotba,10554,2.620,2016-07-15.07:40:52,5607352,10550560,96007031,10559717,96090640,0,52230918,25468364,10554760,885939,18,-1
elevator2.3_F_036,ufscc,64,spotba,217,0.510,2016-07-15.07:40:55,0,5190,19643,10070,27409,0,0,9,10068,10067,6,-1
elevator2.3_F_037,ufscc,64,spotba,226,0.420,2016-07-15.07:40:59,0,4092,15197,8742,23725,0,0,3,8742,8740,4,-1
elevator2.3_F_038,ufscc,64,spotba,32,2.040,2016-07-15.07:41:02,4441953,8456992,74612144,8465013,74681423,0,39795759,19135532,8463460,881783,4,-1
elevator2.3_F_039,ufscc,64,spotba,32,0.800,2016-07-15.07:41:06,1519801,1520184,10003607,1747876,12126390,0,9429363,1,1747876,2975,8,-1
elevator2.3_F_040,ufscc,64,spotba,34,2.560,2016-07-15.07:41:11,4028993,11697295,82978490,12632367,90733846,0,23976156,48983015,11854433,909916,12,-1
elevator.4_F_001,ufscc,64,spotba,119,0.630,2016-07-15.07:41:18,413,7909,16403,8292,17535,0,31,28,8292,7880,22,-1
elevator.4_F_002,ufscc,64,spotba,152,1.110,2016-07-15.07:41:23,1645867,1891777,4874610,1972424,5172933,0,2645025,272433,1942698,89245,30,-1
elevator.4_F_003,ufscc,64,spotba,44,0.930,2016-07-15.07:41:28,67684,158786,367198,160974,373055,0,72628,17562,160901,82273,8,-1
elevator.4_F_004,ufscc,64,spotba,191,0.970,2016-07-15.07:41:31,133175,162017,253936,163188,257062,0,45263,3401,163098,29239,10,-1
elevator.4_F_005,ufscc,64,spotba,66,0.660,2016-07-15.07:41:35,11382,14377,20855,14704,22788,0,1195,2,14704,3750,10,-1
elevator.4_F_006,ufscc,64,spotba,25,0.380,2016-07-15.07:41:38,1708,4109,13623,4697,16531,0,3229,1,4697,2934,9,-1
elevator.4_F_007,ufscc,64,spotba,91,1.120,2016-07-15.07:41:41,442439,1560960,4293886,2035255,5686464,0,1060794,2009031,1690295,268612,24,-1
elevator.4_F_008,ufscc,64,spotba,66,0.500,2016-07-15.07:41:44,4275,6704,11061,7587,13882,0,2131,1,7587,3121,25,-1
elevator.4_F_009,ufscc,64,spotba,93,0.430,2016-07-15.07:41:47,190,4023,9077,4766,11399,0,205,1,4766,4278,16,-1
elevator.4_F_011,ufscc,64,spotba,139,0.620,2016-07-15.07:41:53,9493,11532,32802,13392,39898,0,16268,1,13392,2774,9,-1
elevator.4_F_012,ufscc,64,spotba,92,1.050,2016-07-15.07:41:57,227419,953224,4176069,1217570,5749469,0,987737,2657051,1028624,194904,5,-1
elevator.4_F_013,ufscc,64,spotba,120,0.680,2016-07-15.07:42:00,9391,12421,21273,14613,26972,0,6218,3,14613,3766,15,-1
elevator.4_F_014,ufscc,64,spotba,23,0.260,2016-07-15.07:42:02,7,1867,4067,2213,5162,0,6,1,2213,2206,4,-1
elevator.4_F_015,ufscc,64,spotba,59,0.450,2016-07-15.07:42:05,3038,4942,13688,5612,16803,0,2390,1,5612,2477,5,-1
elevator.4_F_016,ufscc,64,spotba,80,0.500,2016-07-15.07:42:08,3163,6817,12527,7488,15025,0,1824,4,7488,4255,25,-1
elevator.4_F_017,ufscc,64,spotba,49,0.340,2016-07-15.07:42:12,2348,3441,6564,4711,10337,0,1625,1,4711,1599,20,-1
elevator.4_F_018,ufscc,64,spotba,43,0.610,2016-07-15.07:42:15,390,4600,12374,4950,13417,0,196,2,4950,4585,5,-1
elevator.4_F_019,ufscc,64,spotba,61,0.450,2016-07-15.07:42:18,543,3530,10152,3981,12699,0,56,2,3981,3414,10,-1
elevator.4_F_020,ufscc,64,spotba,67,0.520,2016-07-15.07:42:20,3557,6271,18468,6646,22805,0,2833,1,6646,3223,8,-1
elevator.4_F_021,ufscc,64,spotba,102,0.640,2016-07-15.07:42:25,34,9128,23996,9520,25365,0,6,295,9507,9473,15,-1
elevator.4_F_022,ufscc,64,spotba,100,0.480,2016-07-15.07:42:27,2298,6024,11749,6383,13001,0,1276,1,6383,4092,8,-1
elevator.4_F_023,ufscc,64,spotba,49,0.330,2016-07-15.07:42:30,262,3242,6354,3644,7732,0,38,1,3644,3360,11,-1
elevator.4_F_025,ufscc,64,spotba,154,1.060,2016-07-15.07:42:36,516502,1408799,3635369,1706638,4509501,0,817679,1639103,1499883,267555,6,-1
elevator.4_F_026,ufscc,64,spotba,124,0.400,2016-07-15.07:42:39,218,2757,5633,3066,6839,0,48,1,3066,2850,12,-1
elevator.4_F_027,ufscc,64,spotba,64,0.470,2016-07-15.07:42:41,1824,5715,11655,6024,12893,0,1187,1,6024,4252,12,-1
elevator.4_F_028,ufscc,64,spotba,152,0.680,2016-07-15.07:42:44,6067,10783,22978,11255,25754,0,1881,23,11255,5176,16,-1
elevator.4_F_030,ufscc,64,spotba,82,0.570,2016-07-15.07:42:52,2732,6367,14254,6764,15903,0,1067,1,6764,4107,6,-1
elevator.4_F_031,ufscc,64,spotba,21,0.220,2016-07-15.07:42:55,0,1365,2905,1757,4104,0,0,1,1757,1757,8,-1
elevator.4_F_032,ufscc,64,spotba,47,0.430,2016-07-15.07:42:57,773,3324,12107,3686,13233,0,1106,1,3686,2983,11,-1
elevator.4_F_033,ufscc,64,spotba,148,0.780,2016-07-15.07:43:01,18333,21935,48760,23492,54392,0,15262,6,23492,4232,15,-1
elevator.4_F_034,ufscc,64,spotba,108,0.620,2016-07-15.07:43:05,6015,10996,22088,11402,23737,0,4015,28,11402,5464,8,-1
elevator.4_F_035,ufscc,64,spotba,73,0.300,2016-07-15.07:43:08,590,2120,4363,2700,6637,0,82,1,2700,1984,14,-1
elevator.4_F_036,ufscc,64,spotba,68,0.580,2016-07-15.07:43:12,1694,5577,16468,5931,17938,0,941,4,5931,4267,12,-1
elevator.4_F_037,ufscc,64,spotba,79,0.440,2016-07-15.07:43:16,924,3761,7010,4241,9690,0,360,1,4241,3187,17,-1
elevator.4_F_038,ufscc,64,spotba,113,1.100,2016-07-15.07:43:19,362829,1329611,3991385,1825579,5850529,0,1169520,1928362,1456461,273913,10,-1
elevator.4_F_039,ufscc,64,spotba,22,0.650,2016-07-15.07:43:24,13577,15766,25519,17120,28962,0,7501,1,17120,2990,11,-1
elevator.4_F_040,ufscc,64,spotba,85,0.510,2016-07-15.07:43:29,1382,6300,12011,6679,13078,0,658,1,6679,5270,3,-1
elevator.4_F_042,ufscc,64,spotba,144,0.740,2016-07-15.07:43:34,1581,10652,37448,11044,39148,0,1000,381,11042,9471,23,-1
