model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
S_ERK-PT-010000_LTLS_9_F_,ndfs,1,spotba,20003,2.660,2016-07-05.16:23:41,-1,-1,-1,20002,60003,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-100000_LTLF_13_F_,ndfs,1,spotba,100007,2.980,2016-07-05.16:23:45,-1,-1,-1,100006,500020,-1,-1,-1,-1,-1,3,-1
S_ERK-PT-100000_LTLF_14_F_,ndfs,1,spotba,-1,600.000,2016-07-05.16:33:45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1
S_ERK-PT-100000_LTLF_1_F_,ndfs,1,spotba,100007,2.910,2016-07-05.16:33:48,-1,-1,-1,100006,300028,-1,-1,-1,-1,-1,6,-1
S_ERK-PT-100000_LTLF_3_F_,ndfs,1,spotba,100007,2.940,2016-07-05.16:33:51,-1,-1,-1,100006,400016,-1,-1,-1,-1,-1,3,-1
S_ERK-PT-100000_LTLF_9_F_,ndfs,1,spotba,100007,2.880,2016-07-05.16:33:54,-1,-1,-1,100006,300028,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-100000_LTLS_1_F_,ndfs,1,spotba,100005,2.850,2016-07-05.16:42:40,-1,-1,-1,100004,300013,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-100000_LTLS_2_F_,ndfs,1,spotba,300004,3.470,2016-07-05.16:42:43,-1,-1,-1,300003,1000004,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-100000_LTLS_3_F_,ndfs,1,spotba,799999,5.370,2016-07-05.16:42:49,-1,-1,-1,799998,3299978,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-100000_LTLS_4_F_,ndfs,1,spotba,-1,600.000,2016-07-05.16:52:49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-100000_LTLS_6_F_,ndfs,1,spotba,-1,600.000,2016-07-05.17:11:24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
S_ERK-PT-100000_LTLS_8_F_,ndfs,1,spotba,100004,2.840,2016-07-05.17:20:38,-1,-1,-1,100003,300006,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-200_LTLS_7_F_,ndfs,1,spotba,406,0.720,2016-07-05.17:20:39,-1,-1,-1,405,1616,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLF_14_F_,ndfs,1,spotba,2504,2.750,2016-07-05.17:20:42,-1,-1,-1,2503,9504,-1,-1,-1,-1,-1,7,-1
S_FMS-PT-500_LTLS_0_F_,ndfs,1,spotba,2504,2.840,2016-07-05.17:20:45,-1,-1,-1,2503,11004,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_10_F_,ndfs,1,spotba,1251506,16.790,2016-07-05.17:21:02,-1,-1,-1,1251505,7501013,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_11_F_,ndfs,1,spotba,3004,3.150,2016-07-05.17:21:05,-1,-1,-1,3003,12003,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_12_F_,ndfs,1,spotba,1508,1.760,2016-07-05.17:21:07,-1,-1,-1,1507,5021,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_13_F_,ndfs,1,spotba,2504,2.620,2016-07-05.17:21:10,-1,-1,-1,2503,9005,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_14_F_,ndfs,1,spotba,1504,2.240,2016-07-05.17:21:12,-1,-1,-1,1503,7009,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_1_F_,ndfs,1,spotba,5501,3.890,2016-07-05.17:21:16,-1,-1,-1,5500,21485,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_2_F_,ndfs,1,spotba,2004,2.830,2016-07-05.17:21:19,-1,-1,-1,2003,10004,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_3_F_,ndfs,1,spotba,2506003,17.850,2016-07-05.17:21:37,-1,-1,-1,2506002,13514984,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_4_F_,ndfs,1,spotba,3005,3.280,2016-07-05.17:21:41,-1,-1,-1,3004,13006,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_5_F_,ndfs,1,spotba,1042758,10.370,2016-07-05.17:21:51,-1,-1,-1,1042757,6454946,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_6_F_,ndfs,1,spotba,3007,3.050,2016-07-05.17:21:55,-1,-1,-1,3006,13516,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_7_F_,ndfs,1,spotba,5006,4.090,2016-07-05.17:21:59,-1,-1,-1,5005,23500,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_8_F_,ndfs,1,spotba,6021,4.290,2016-07-05.17:22:03,-1,-1,-1,6020,26562,-1,-1,-1,-1,-1,2,-1
S_FMS-PT-500_LTLS_9_F_,ndfs,1,spotba,1501001,17.150,2016-07-05.17:22:21,-1,-1,-1,1501000,9493996,-1,-1,-1,-1,-1,2,-1
S_HouseConstruction-PT-005_LTLF_11_T_,ndfs,1,spotba,-1,8.220,2016-07-05.17:22:29,-1,-1,-1,655518,3020580,-1,-1,-1,-1,-1,2,-1
S_HouseConstruction-PT-005_LTLF_14_T_,ndfs,1,spotba,-1,6.770,2016-07-05.17:22:36,-1,-1,-1,298989,1074051,-1,-1,-1,-1,-1,2,-1
S_HouseConstruction-PT-005_LTLF_2_T_,ndfs,1,spotba,-1,9.910,2016-07-05.17:22:46,-1,-1,-1,996628,5320110,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_11_T_,ndfs,1,spotba,-1,5.280,2016-07-05.17:22:52,-1,-1,-1,33530,86772,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_12_T_,ndfs,1,spotba,-1,5.700,2016-07-05.17:22:58,-1,-1,-1,49842,167910,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_13_T_,ndfs,1,spotba,-1,8.250,2016-07-05.17:23:06,-1,-1,-1,655518,3020580,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_14_T_,ndfs,1,spotba,-1,9.890,2016-07-05.17:23:16,-1,-1,-1,996628,5320110,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_15_T_,ndfs,1,spotba,-1,5.870,2016-07-05.17:23:22,-1,-1,-1,33530,86772,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_1_T_,ndfs,1,spotba,-1,8.370,2016-07-05.17:23:31,-1,-1,-1,655518,3020580,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_4_T_,ndfs,1,spotba,-1,5.970,2016-07-05.17:23:37,-1,-1,-1,91897,334900,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_5_T_,ndfs,1,spotba,-1,9.950,2016-07-05.17:23:47,-1,-1,-1,996628,5320110,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_6_T_,ndfs,1,spotba,-1,6.910,2016-07-05.17:23:54,-1,-1,-1,358228,1310710,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_7_T_,ndfs,1,spotba,-1,6.680,2016-07-05.17:24:01,-1,-1,-1,298989,1074051,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_8_T_,ndfs,1,spotba,-1,6.100,2016-07-05.17:24:07,-1,-1,-1,133548,427190,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-005_LTLS_9_T_,ndfs,1,spotba,-1,8.440,2016-07-05.17:24:16,-1,-1,-1,133548,427190,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLF_11_T_,ndfs,1,spotba,-1,7.860,2016-07-05.17:24:24,-1,-1,-1,626483,2065635,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLF_13_T_,ndfs,1,spotba,-1,7.890,2016-07-05.17:24:32,-1,-1,-1,626483,2065635,-1,-1,-1,-1,-1,4,-1
S_HouseConstruction-PT-010_LTLF_6_T_,ndfs,1,spotba,-1,95.200,2016-07-05.17:26:08,-1,-1,-1,22172488,102079900,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLF_9_T_,ndfs,1,spotba,-1,128.480,2016-07-05.17:28:16,-1,-1,-1,22172488,102079900,-1,-1,-1,-1,-1,2,-1
S_HouseConstruction-PT-010_LTLS_0_T_,ndfs,1,spotba,-1,28.340,2016-07-05.17:28:45,-1,-1,-1,6085611,22231735,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLS_11_T_,ndfs,1,spotba,-1,28.480,2016-07-05.17:29:13,-1,-1,-1,6085611,22231735,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLS_12_T_,ndfs,1,spotba,-1,15.000,2016-07-05.17:29:29,-1,-1,-1,2571998,9772620,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLS_13_T_,ndfs,1,spotba,-1,15.710,2016-07-05.17:29:45,-1,-1,-1,2571998,9772620,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLS_15_T_,ndfs,1,spotba,-1,15.260,2016-07-05.17:30:00,-1,-1,-1,2571998,9772620,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLS_1_T_,ndfs,1,spotba,-1,27.600,2016-07-05.17:30:28,-1,-1,-1,6085611,22231735,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLS_2_T_,ndfs,1,spotba,-1,28.150,2016-07-05.17:30:56,-1,-1,-1,6085611,22231735,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLS_3_T_,ndfs,1,spotba,-1,5.960,2016-07-05.17:31:02,-1,-1,-1,88440,240867,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-010_LTLS_4_T_,ndfs,1,spotba,-1,117.090,2016-07-05.17:33:00,-1,-1,-1,22172488,102079900,-1,-1,-1,-1,-1,1,-1
